date,crop,market,variety,grade,min_price,max_price,modal_price,price_unit,location,year,month,day_of_week
2021-01-01,Pepper,Sulur,Pepper,Local,50023.44,56350.76,53069.17,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,4
2021-01-02,Pepper,Pollachi,Black Pepper,Local,49549.59,54421.53,51863.44,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,5
2021-01-03,Pepper,Sulur,Pepper,Local,49732.66,55099.22,52440.97,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,6
2021-01-04,Pepper,Mettupalayam,Black Pepper,Local,48936.68,55067.6,51440.16,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,0
2021-01-05,Pepper,Udumalpet,Pepper,Local,51111.94,56040.18,53369.88,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,1
2021-01-06,Pepper,Mettupalayam,Pepper,Local,48214.38,54183.46,51101.9,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,2
2021-01-07,Pepper,Udumalpet,Black Pepper,Local,48843.69,54714.47,51623.67,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,3
2021-01-08,Pepper,Udumalpet,Black Pepper,Local,51141.83,56744.16,53430.94,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,4
2021-01-09,Pepper,Sulur,Pepper,Local,51246.98,57926.47,54203.07,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,5
2021-01-10,Pepper,Mettupalayam,Pepper,Local,49602.93,56272.41,52628.67,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,6
2021-01-11,Pepper,Mettupalayam,Pepper,Local,50913.02,57305.54,53475.58,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,0
2021-01-12,Pepper,Coimbatore,Black Pepper,Local,50200.01,55768.38,52943.62,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,1
2021-01-13,Pepper,Pollachi,Pepper,Local,51411.95,56212.98,53746.76,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,2
2021-01-14,Pepper,Mettupalayam,Black Pepper,Local,49144.82,55136.75,52277.1,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,3
2021-01-15,Pepper,Mettupalayam,Black Pepper,Local,49496.33,56168.49,52824.27,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,4
